geo_bbl,geo_bin,geo_tpad_new_bin,geo_tpad_new_bin_status,geo_tpad_dm_bin_status,geo_tpad_conflict_flag,geo_tpad_bin_status,geo_return_code,geo_return_code_2,geo_message,geo_message_2,geo_reason_code
"",1000000,"","","","", ,22,"","INVALID BIN FORMAT: NON-NUMERIC, FIRST DIGIT NOT 1-5 OR REST OF DIGITS ALL ZERO","",""
"",1000000,"","","","", ,22,"","INVALID BIN FORMAT: NON-NUMERIC, FIRST DIGIT NOT 1-5 OR REST OF DIGITS ALL ZERO","",""
"",1000000,"","","","", ,22,"","INVALID BIN FORMAT: NON-NUMERIC, FIRST DIGIT NOT 1-5 OR REST OF DIGITS ALL ZERO","",""
"",1003794,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1005690,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1005990,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1005993,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1019630,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1019631,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1019632,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1019930,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1020138,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1027166,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1030901,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1036226,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1046959,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1046960,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1046961,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1046962,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1048054,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1064996,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1079087,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1079704,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1079724,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1080066,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1080067,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1080922,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1082126,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1082127,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
"",1082876,"","","","", ,21,"",BUILDING IDENTIFICATION NUMBER (BIN) NOT FOUND,"",""
